Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
3.669400e+09, 9.998794e-01, 2.827019e+00, 4.040095e-10, 7.929843e+00, 1.570406e+00
3.673200e+09, 9.998701e-01, 2.817373e+00, 4.038224e-10, 8.177254e+00, 1.570389e+00
3.677000e+09, 9.998607e-01, 2.807731e+00, 4.036369e-10, 8.424941e+00, 1.570371e+00
3.680800e+09, 9.998510e-01, 2.798094e+00, 4.034532e-10, 8.672917e+00, 1.570354e+00
3.684600e+09, 9.998412e-01, 2.788461e+00, 4.032710e-10, 8.921195e+00, 1.570337e+00
3.688400e+09, 9.998312e-01, 2.778832e+00, 4.030906e-10, 9.169787e+00, 1.570320e+00
3.692200e+09, 9.998209e-01, 2.769208e+00, 4.029118e-10, 9.418707e+00, 1.570304e+00
3.696000e+09, 9.998105e-01, 2.759588e+00, 4.027348e-10, 9.667968e+00, 1.570288e+00
3.699800e+09, 9.997999e-01, 2.749972e+00, 4.025594e-10, 9.917583e+00, 1.570272e+00
3.703600e+09, 9.997892e-01, 2.740361e+00, 4.023858e-10, 1.016757e+01, 1.570256e+00
3.707400e+09, 9.997783e-01, 2.730754e+00, 4.022138e-10, 1.041793e+01, 1.570241e+00
3.711200e+09, 9.997672e-01, 2.721150e+00, 4.020437e-10, 1.066869e+01, 1.570226e+00
3.715000e+09, 9.997560e-01, 2.711551e+00, 4.018752e-10, 1.091985e+01, 1.570211e+00
3.718800e+09, 9.997447e-01, 2.701956e+00, 4.017085e-10, 1.117144e+01, 1.570196e+00
3.722600e+09, 9.997332e-01, 2.692365e+00, 4.015436e-10, 1.142346e+01, 1.570182e+00
3.726400e+09, 9.997217e-01, 2.682777e+00, 4.013806e-10, 1.167594e+01, 1.570168e+00
3.730200e+09, 9.997100e-01, 2.673194e+00, 4.012193e-10, 1.192887e+01, 1.570154e+00
3.734000e+09, 9.996982e-01, 2.663614e+00, 4.010599e-10, 1.218228e+01, 1.570140e+00
3.737800e+09, 9.996864e-01, 2.654039e+00, 4.009023e-10, 1.243619e+01, 1.570127e+00
3.741600e+09, 9.996745e-01, 2.644467e+00, 4.007466e-10, 1.269060e+01, 1.570114e+00
3.745400e+09, 9.996626e-01, 2.634898e+00, 4.005928e-10, 1.294552e+01, 1.570101e+00
3.749200e+09, 9.996507e-01, 2.625334e+00, 4.004410e-10, 1.320099e+01, 1.570089e+00
3.753000e+09, 9.996387e-01, 2.615773e+00, 4.002911e-10, 1.345700e+01, 1.570076e+00
3.756800e+09, 9.996267e-01, 2.606215e+00, 4.001433e-10, 1.371357e+01, 1.570065e+00
3.760600e+09, 9.996148e-01, 2.596661e+00, 3.999974e-10, 1.397072e+01, 1.570053e+00
3.764400e+09, 9.996029e-01, 2.587111e+00, 3.998536e-10, 1.422847e+01, 1.570042e+00
3.768200e+09, 9.995910e-01, 2.577564e+00, 3.997119e-10, 1.448682e+01, 1.570031e+00
3.772000e+09, 9.995792e-01, 2.568021e+00, 3.995723e-10, 1.474580e+01, 1.570021e+00
3.775800e+09, 9.995675e-01, 2.558480e+00, 3.994348e-10, 1.500542e+01, 1.570011e+00
3.779600e+09, 9.995559e-01, 2.548943e+00, 3.992996e-10, 1.526569e+01, 1.570001e+00
3.783400e+09, 9.995444e-01, 2.539410e+00, 3.991665e-10, 1.552663e+01, 1.569992e+00
3.787200e+09, 9.995330e-01, 2.529879e+00, 3.990357e-10, 1.578826e+01, 1.569983e+00
3.791000e+09, 9.995218e-01, 2.520352e+00, 3.989071e-10, 1.605059e+01, 1.569975e+00
3.794800e+09, 9.995108e-01, 2.510827e+00, 3.987809e-10, 1.631364e+01, 1.569967e+00
3.798600e+09, 9.995000e-01, 2.501306e+00, 3.986571e-10, 1.657743e+01, 1.569959e+00
3.802400e+09, 9.994894e-01, 2.491788e+00, 3.985356e-10, 1.684196e+01, 1.569952e+00
3.806200e+09, 9.994790e-01, 2.482272e+00, 3.984165e-10, 1.710727e+01, 1.569946e+00
3.810000e+09, 9.994688e-01, 2.472760e+00, 3.982999e-10, 1.737336e+01, 1.569939e+00
3.813800e+09, 9.994589e-01, 2.463250e+00, 3.981858e-10, 1.764025e+01, 1.569934e+00
3.817600e+09, 9.994493e-01, 2.453743e+00, 3.980743e-10, 1.790797e+01, 1.569929e+00
