Frequency [Hz], |S00| [-], Arg(S00) [-], Delay 0>0 [s], |Z0| [Ohm] , Arg(Z0) [-]
2.000000e+08, 1.012113e+00, -6.403557e-01, 5.137198e-10, 1.507655e+02, -1.590946e+00
2.038000e+08, 1.011774e+00, -6.526214e-01, 5.127223e-10, 1.477289e+02, -1.590070e+00
2.076000e+08, 1.011438e+00, -6.648632e-01, 5.117458e-10, 1.448057e+02, -1.589229e+00
2.114000e+08, 1.011104e+00, -6.770817e-01, 5.107894e-10, 1.419895e+02, -1.588421e+00
2.152000e+08, 1.010773e+00, -6.892773e-01, 5.098523e-10, 1.392742e+02, -1.587644e+00
2.190000e+08, 1.010445e+00, -7.014506e-01, 5.089337e-10, 1.366543e+02, -1.586896e+00
2.228000e+08, 1.010119e+00, -7.136020e-01, 5.080330e-10, 1.341244e+02, -1.586177e+00
2.266000e+08, 1.009796e+00, -7.257318e-01, 5.071496e-10, 1.316798e+02, -1.585484e+00
2.304000e+08, 1.009476e+00, -7.378406e-01, 5.062830e-10, 1.293160e+02, -1.584817e+00
2.342000e+08, 1.009160e+00, -7.499287e-01, 5.054328e-10, 1.270289e+02, -1.584174e+00
2.380000e+08, 1.008847e+00, -7.619964e-01, 5.045985e-10, 1.248146e+02, -1.583555e+00
2.418000e+08, 1.008538e+00, -7.740443e-01, 5.037799e-10, 1.226694e+02, -1.582958e+00
2.456000e+08, 1.008233e+00, -7.860726e-01, 5.029766e-10, 1.205899e+02, -1.582383e+00
2.494000e+08, 1.007931e+00, -7.980817e-01, 5.021884e-10, 1.185730e+02, -1.581829e+00
2.532000e+08, 1.007634e+00, -8.100720e-01, 5.014149e-10, 1.166158e+02, -1.581295e+00
2.570000e+08, 1.007341e+00, -8.220438e-01, 5.006561e-10, 1.147153e+02, -1.580780e+00
2.608000e+08, 1.007052e+00, -8.339976e-01, 4.999116e-10, 1.128691e+02, -1.580284e+00
2.646000e+08, 1.006768e+00, -8.459335e-01, 4.991814e-10, 1.110746e+02, -1.579806e+00
2.684000e+08, 1.006488e+00, -8.578520e-01, 4.984652e-10, 1.093296e+02, -1.579345e+00
2.722000e+08, 1.006213e+00, -8.697534e-01, 4.977630e-10, 1.076318e+02, -1.578901e+00
2.760000e+08, 1.005943e+00, -8.816380e-01, 4.970744e-10, 1.059793e+02, -1.578473e+00
2.798000e+08, 1.005677e+00, -8.935062e-01, 4.963996e-10, 1.043700e+02, -1.578061e+00
2.836000e+08, 1.005417e+00, -9.053583e-01, 4.957382e-10, 1.028022e+02, -1.577664e+00
2.874000e+08, 1.005162e+00, -9.171946e-01, 4.950902e-10, 1.012742e+02, -1.577282e+00
2.912000e+08, 1.004912e+00, -9.290155e-01, 4.944555e-10, 9.978422e+01, -1.576914e+00
2.950000e+08, 1.004668e+00, -9.408211e-01, 4.938340e-10, 9.833084e+01, -1.576559e+00
2.988000e+08, 1.004428e+00, -9.526120e-01, 4.932254e-10, 9.691256e+01, -1.576218e+00
3.026000e+08, 1.004195e+00, -9.643883e-01, 4.926299e-10, 9.552800e+01, -1.575890e+00
3.064000e+08, 1.003966e+00, -9.761503e-01, 4.920471e-10, 9.417586e+01, -1.575575e+00
3.102000e+08, 1.003744e+00, -9.878985e-01, 4.914770e-10, 9.285488e+01, -1.575272e+00
3.140000e+08, 1.003527e+00, -9.996331e-01, 4.909195e-10, 9.156388e+01, -1.574981e+00
3.178000e+08, 1.003315e+00, -1.011354e+00, 4.903745e-10, 9.030173e+01, -1.574701e+00
3.216000e+08, 1.003109e+00, -1.023063e+00, 4.898417e-10, 8.906738e+01, -1.574433e+00
3.254000e+08, 1.002909e+00, -1.034758e+00, 4.893212e-10, 8.785980e+01, -1.574176e+00
3.292000e+08, 1.002715e+00, -1.046441e+00, 4.888127e-10, 8.667802e+01, -1.573929e+00
3.330000e+08, 1.002527e+00, -1.058112e+00, 4.883161e-10, 8.552112e+01, -1.573692e+00
3.368000e+08, 1.002344e+00, -1.069771e+00, 4.878314e-10, 8.438823e+01, -1.573466e+00
3.406000e+08, 1.002167e+00, -1.081419e+00, 4.873582e-10, 8.327849e+01, -1.573249e+00
3.444000e+08, 1.001996e+00, -1.093055e+00, 4.868965e-10, 8.219113e+01, -1.573041e+00
3.482000e+08, 1.001830e+00, -1.104680e+00, 4.864461e-10, 8.112536e+01, -1.572843e+00
3.520000e+08, 1.001671e+00, -1.116295e+00, 4.860069e-10, 8.008046e+01, -1.572654e+00
3.558000e+08, 1.001517e+00, -1.127898e+00, 4.855786e-10, 7.905574e+01, -1.572474e+00
3.596000e+08, 1.001368e+00, -1.139492e+00, 4.851611e-10, 7.805052e+01, -1.572301e+00
3.634000e+08, 1.001226e+00, -1.151076e+00, 4.847543e-10, 7.706417e+01, -1.572138e+00
3.672000e+08, 1.001089e+00, -1.162650e+00, 4.843579e-10, 7.609608e+01, -1.571982e+00
3.710000e+08, 1.000957e+00, -1.174215e+00, 4.839717e-10, 7.514567e+01, -1.571834e+00
3.748000e+08, 1.000831e+00, -1.185770e+00, 4.835956e-10, 7.421237e+01, -1.571693e+00
3.786000e+08, 1.000711e+00, -1.197316e+00, 4.832293e-10, 7.329564e+01, -1.571560e+00
3.824000e+08, 1.000596e+00, -1.208854e+00, 4.828727e-10, 7.239498e+01, -1.571434e+00
3.862000e+08, 1.000487e+00, -1.220383e+00, 4.825255e-10, 7.150989e+01, -1.571314e+00
3.900000e+08, 1.000382e+00, -1.231904e+00, 4.821875e-10, 7.063989e+01, -1.571202e+00
3.938000e+08, 1.000283e+00, -1.243417e+00, 4.818586e-10, 6.978453e+01, -1.571096e+00
3.976000e+08, 1.000190e+00, -1.254922e+00, 4.815385e-10, 6.894338e+01, -1.570996e+00
4.014000e+08, 1.000101e+00, -1.266419e+00, 4.812269e-10, 6.811601e+01, -1.570902e+00
4.052000e+08, 1.000017e+00, -1.277909e+00, 4.809237e-10, 6.730202e+01, -1.570814e+00
4.090000e+08, 9.999384e-01, -1.289391e+00, 4.806287e-10, 6.650103e+01, -1.570732e+00
4.128000e+08, 9.998645e-01, -1.300867e+00, 4.803415e-10, 6.571265e+01, -1.570656e+00
4.166000e+08, 9.997954e-01, -1.312335e+00, 4.800620e-10, 6.493654e+01, -1.570585e+00
4.204000e+08, 9.997309e-01, -1.323797e+00, 4.797900e-10, 6.417234e+01, -1.570519e+00
4.242000e+08, 9.996710e-01, -1.335253e+00, 4.795252e-10, 6.341973e+01, -1.570458e+00
4.280000e+08, 9.996155e-01, -1.346702e+00, 4.792674e-10, 6.267838e+01, -1.570402e+00
4.318000e+08, 9.995644e-01, -1.358145e+00, 4.790163e-10, 6.194799e+01, -1.570351e+00
4.356000e+08, 9.995176e-01, -1.369582e+00, 4.787718e-10, 6.122825e+01, -1.570304e+00
4.394000e+08, 9.994749e-01, -1.381013e+00, 4.785335e-10, 6.051888e+01, -1.570262e+00
4.432000e+08, 9.994363e-01, -1.392439e+00, 4.783013e-10, 5.981961e+01, -1.570223e+00
4.470000e+08, 9.994017e-01, -1.403859e+00, 4.780750e-10, 5.913016e+01, -1.570189e+00
4.508000e+08, 9.993709e-01, -1.415274e+00, 4.778542e-10, 5.845028e+01, -1.570159e+00
4.546000e+08, 9.993438e-01, -1.426683e+00, 4.776388e-10, 5.777972e+01, -1.570133e+00
4.584000e+08, 9.993203e-01, -1.438087e+00, 4.774285e-10, 5.711824e+01, -1.570110e+00
4.622000e+08, 9.993004e-01, -1.449486e+00, 4.772231e-10, 5.646561e+01, -1.570091e+00
4.660000e+08, 9.992838e-01, -1.460880e+00, 4.770224e-10, 5.582160e+01, -1.570076e+00
4.698000e+08, 9.992705e-01, -1.472270e+00, 4.768262e-10, 5.518600e+01, -1.570063e+00
4.736000e+08, 9.992604e-01, -1.483655e+00, 4.766342e-10, 5.455860e+01, -1.570054e+00
4.774000e+08, 9.992533e-01, -1.495035e+00, 4.764462e-10, 5.393918e+01, -1.570047e+00
4.812000e+08, 9.992492e-01, -1.506410e+00, 4.762621e-10, 5.332757e+01, -1.570044e+00
